시스템명(대분류),시스템명(소분류),업무코드(변경관리),업무코드(메타),어플리케이션명,상태(운영/불용),시스템상태(live/dead),"시스템중요도(핵심,일반)",복구레벨(lv1~5)
ERP,ERP-인사관리-001,HRMS,SMRH,인사관리_APP,운영,live,일반,lv1
ERP,ERP-재무회계-002,FINS,SNIF,재무회계_APP,불용,dead,핵심,lv1
MES,MES-생산관리-003,MESP,PSEM,생산관리_APP,불용,dead,일반,lv3
WMS,WMS-창고관리-004,WMSP,PSMW,창고관리_APP,운영,live,핵심,lv4
CRM,CRM-고객관리-005,CRMS,SMRC,고객관리_APP,운영,live,일반,lv4
SRM,SRM-구매관리-006,SRMS,SMRS,구매관리_APP,운영,live,일반,lv1
SCM,SCM-공급망관리-007,SCMS,SMCS,공급망관리_APP,운영,live,일반,lv2
보안,보안-접근제어-008,ACCS,SCCA,접근제어_APP,운영,live,일반,lv4
보안,보안-계정관리-009,IDMS,SMDI,계정관리_APP,운영,live,일반,lv3
보안,보안-침해탐지-010,IDPS,SPDI,침해탐지_APP,운영,live,일반,lv1
AI,AI-챗봇상담-011,AICB,BCIA,챗봇상담_APP,운영,live,일반,lv4
AI,AI-수요예측-012,AIFC,CFIA,수요예측_APP,운영,live,일반,lv5
AI,AI-문서분석-013,AIDP,PDIA,문서분석_APP,운영,live,일반,lv5
데이터,데이터-ETL플랫폼-014,ETLP,PLTE,ETL플랫폼_APP,운영,live,일반,lv2
데이터,데이터-허브-015,DHUB,BUHD,허브_APP,운영,live,일반,lv3
모니터링,모니터링-장애감시-016,MNTR,RTNM,장애감시_APP,운영,live,일반,lv2
모니터링,모니터링-로그분석-017,LOGS,SGOL,로그분석_APP,운영,live,핵심,lv2
그룹웨어,그룹웨어-전자결재-018,GWAP,PAWG,전자결재_APP,불용,dead,일반,lv4
그룹웨어,그룹웨어-메일시스템-019,GWML,LMWG,메일시스템_APP,운영,live,일반,lv2
모바일,모바일-사내앱-020,MAPP,PPAM,사내앱_APP,불용,dead,핵심,lv3
포탈,포탈-인트라넷-021,INPT,TPNI,인트라넷_APP,불용,dead,일반,lv3
포탈,포탈-고객사이트-022,WCPT,TPCW,고객사이트_APP,운영,live,핵심,lv2
클라우드,클라우드-자원관리-023,CLRM,MRLC,자원관리_APP,운영,live,일반,lv2
클라우드,클라우드-모니터링-024,CLMN,NMLC,모니터링_APP,운영,live,일반,lv1
네트워크,네트워크-방화벽관리-025,FWMG,GMWF,방화벽관리_APP,운영,live,일반,lv5
네트워크,네트워크-네트워크장비-026,NETW,WTEN,네트워크장비_APP,운영,live,일반,lv5
인프라,인프라-서버관리-027,SRVM,MVRS,서버관리_APP,운영,live,일반,lv2
인프라,인프라-백업시스템-028,BKUP,PUKB,백업시스템_APP,운영,live,일반,lv5
ITSM,ITSM-서비스포탈-029,ITSP,PSTI,서비스포탈_APP,불용,dead,일반,lv1
ITSM,ITSM-장애관리-030,ITIM,MITI,장애관리_APP,운영,live,핵심,lv5
ERP,ERP-인사관리-031,HRMS,SMRH,인사관리_APP,운영,live,일반,lv3
ERP,ERP-재무회계-032,FINS,SNIF,재무회계_APP,운영,live,일반,lv5
MES,MES-생산관리-033,MESP,PSEM,생산관리_APP,운영,live,일반,lv3
WMS,WMS-창고관리-034,WMSP,PSMW,창고관리_APP,불용,dead,일반,lv2
CRM,CRM-고객관리-035,CRMS,SMRC,고객관리_APP,운영,live,일반,lv1
SRM,SRM-구매관리-036,SRMS,SMRS,구매관리_APP,운영,live,일반,lv2
SCM,SCM-공급망관리-037,SCMS,SMCS,공급망관리_APP,운영,live,일반,lv1
보안,보안-접근제어-038,ACCS,SCCA,접근제어_APP,운영,live,일반,lv4
보안,보안-계정관리-039,IDMS,SMDI,계정관리_APP,운영,live,일반,lv5
보안,보안-침해탐지-040,IDPS,SPDI,침해탐지_APP,운영,live,핵심,lv3
AI,AI-챗봇상담-041,AICB,BCIA,챗봇상담_APP,운영,live,일반,lv4
AI,AI-수요예측-042,AIFC,CFIA,수요예측_APP,불용,dead,일반,lv5
AI,AI-문서분석-043,AIDP,PDIA,문서분석_APP,운영,live,일반,lv5
데이터,데이터-ETL플랫폼-044,ETLP,PLTE,ETL플랫폼_APP,운영,live,일반,lv5
데이터,데이터-허브-045,DHUB,BUHD,허브_APP,운영,live,핵심,lv2
모니터링,모니터링-장애감시-046,MNTR,RTNM,장애감시_APP,불용,dead,일반,lv2
모니터링,모니터링-로그분석-047,LOGS,SGOL,로그분석_APP,운영,live,일반,lv3
그룹웨어,그룹웨어-전자결재-048,GWAP,PAWG,전자결재_APP,불용,dead,일반,lv4
그룹웨어,그룹웨어-메일시스템-049,GWML,LMWG,메일시스템_APP,운영,live,핵심,lv5
모바일,모바일-사내앱-050,MAPP,PPAM,사내앱_APP,운영,live,일반,lv2
포탈,포탈-인트라넷-051,INPT,TPNI,인트라넷_APP,운영,live,일반,lv5
포탈,포탈-고객사이트-052,WCPT,TPCW,고객사이트_APP,불용,dead,일반,lv3
클라우드,클라우드-자원관리-053,CLRM,MRLC,자원관리_APP,운영,live,일반,lv4
클라우드,클라우드-모니터링-054,CLMN,NMLC,모니터링_APP,운영,live,일반,lv2
네트워크,네트워크-방화벽관리-055,FWMG,GMWF,방화벽관리_APP,운영,live,일반,lv4
네트워크,네트워크-네트워크장비-056,NETW,WTEN,네트워크장비_APP,운영,live,일반,lv4
인프라,인프라-서버관리-057,SRVM,MVRS,서버관리_APP,운영,live,일반,lv1
인프라,인프라-백업시스템-058,BKUP,PUKB,백업시스템_APP,불용,dead,핵심,lv1
ITSM,ITSM-서비스포탈-059,ITSP,PSTI,서비스포탈_APP,운영,live,일반,lv4
ITSM,ITSM-장애관리-060,ITIM,MITI,장애관리_APP,운영,live,일반,lv1
ERP,ERP-인사관리-061,HRMS,SMRH,인사관리_APP,불용,dead,핵심,lv3
ERP,ERP-재무회계-062,FINS,SNIF,재무회계_APP,운영,live,일반,lv5
MES,MES-생산관리-063,MESP,PSEM,생산관리_APP,운영,live,일반,lv2
WMS,WMS-창고관리-064,WMSP,PSMW,창고관리_APP,운영,live,일반,lv5
CRM,CRM-고객관리-065,CRMS,SMRC,고객관리_APP,운영,live,일반,lv5
SRM,SRM-구매관리-066,SRMS,SMRS,구매관리_APP,운영,live,핵심,lv1
SCM,SCM-공급망관리-067,SCMS,SMCS,공급망관리_APP,운영,live,일반,lv1
